"PKNAME","PEAKID","PKNAME2","PKCONSO","LOCATION","HEIGHTM","ALL","osm.x","osm.y","osm","wiki","LAT","LONG"
"Ama Dablam","AMAD","Amai Dablang","Ama Dablam","Khumbu Himal",6814,2,1,0,0,1,,
"Amphu I","AMPH","NA","Amphu","Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,0,0,0,0,0,"27,87027778","86,95555556"
"Anidesh Chuli","ANID","White Wave Peak","Anidesh Chuli","Kangchenjunga Himal (W of Kangbachen)",6808,0,0,0,0,0,"27,71861111","88,07083333"
"Annapurna I","ANN1","NA","Annapurna I","Annapurna Himal",8091,3,0,1,1,1,,
"Annapurna I East","ANNE","NA","Annapurna I East","Annapurna Himal (ENE of Annapurna I)",8026,1,0,0,0,1,,
"Annapurna I Middle","ANNM","NA","Annapurna I Middle","Annapurna Himal (ENE of Annapurna I)",8051,1,0,0,0,1,,
"Annapurna II","ANN2","NA","Annapurna II","Annapurna Himal",7937,3,0,1,1,1,,
"Annapurna III","ANN3","NA","Annapurna III","Annapurna Himal",7555,3,0,1,1,1,,
"Annapurna IV","ANN4","NA","Annapurna IV","Annapurna Himal",7525,3,0,1,1,1,,
"Annapurna South","ANNS","Annapurna Dakshin, Moditse","Annapurna South","Annapurna Himal (S of Annapurna I and Fang)",7219,2,1,0,0,1,,
"Api Main","APIM","NA","Api Main","Api Himal",7132,0,0,0,0,0,"30,00527778","80,92555556"
"Api West","APIW","NA","Api West","Api Himal (W of Api)",7076,0,0,0,0,0,"30,00166667","80,92555556"
"Baruntse","BARU","NA","Baruntse","Khumbu Himal (W of Makalu)",7152,3,1,0,1,1,,
"Bhairab Takura","BTAK","Madiya","Bhairab Takura","Jugal Himal (ENE of Dorje Lhakpa on Tibetan border)",6799,0,0,0,0,0,"28,19777778","85,80972222"
"Bobaye","BOBA","NA","Bobaye","Api Himal (S of Nampa)",6808,2,1,0,0,1,,
"Burke Kang","BURK","Burke Khang","Burke Kang","Khumbu Himal (ENE of Hungchhi on Tibetan border)",6942,0,0,0,0,0,"28,03694444","87,29416667"
"Chabuk","CHAB","Tsajirip","Chabuk","Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border)",6792,0,0,0,0,0,"27,88583333","87,98750000"
"Chago","CHAG","NA","Chago","Makalu Himal (NW of Makalu II on Tibetan border)",6893,1,0,0,1,0,,
"Chako","CHAK","NA","Chako","Damodar Himal (ESE of Bhrikuti Shail)",6704,0,0,0,0,0,"28,88055556","84,28861111"
"Chamar","CHMM","Shringi Himal","Chamar","Shringi Himal (SSE of Chamar)",7161,2,1,0,0,1,,
"Chamar","CHMR","Shringi Himal","Chamar","Shringi Himal (SSE of Chamar)",7161,2,1,0,0,1,,
"Chamar North","CHMN","Peak 23","Chamar North","Shringi Himal",7165,0,0,0,0,0,"28,55527778","84,94694444"
"Chamlang","CHAM","NA","Chamlang","Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,2,1,0,0,1,,
"Changtse","CTSE","Everest North Peak","Changtse","North of Everest (in Tibet)",7583,1,0,0,0,1,,
"Cheo Himal","CHEO","NA","Cheo Himal","Peri Himal (ESE of Himlung Himal on Tibetan border)",6820,0,0,0,0,0,"28,76472222","84,45416667"
"Cho Oyu","CHOY","NA","Cho Oyu","Khumbu Himal (NW of Everest on Tibetan border)",8188,3,0,1,1,1,,
"Chumbu","CHUM","NA","Chumbu","Khumbu Himal (WSW of Khangri Shar near Tibetan border)",6859,2,1,0,0,1,,
"Churen Himal Central","CHUR","NA","Churen","Dhaulagiri Himal (NW of Dhaulagiri VI)",7385,0,0,0,0,0,,
"Churen Himal East","CHRE","NA","Churen","Dhaulagiri Himal (NW of Dhaulagiri VI)",7371,0,0,0,0,0,,
"Churen Himal West","CHRW","NA","Churen","Dhaulagiri Himal (NW of Dhaulagiri VI)",7371,0,0,0,0,0,,
"Dhaulagiri I","DHA1","NA","Dhaulagiri I","Dhaulagiri Himal",8167,0,0,0,0,0,"28,69666667","83,495"
"Dhaulagiri II","DHA2","NA","Dhaulagiri II","Dhaulagiri Himal (NW of Dhaulagiri I)",7751,2,1,0,0,1,,
"Dhaulagiri III","DHA3","Nalu, Naula","Dhaulagiri III","Dhaulagiri Himal (SW of Dhaulagiri II)",7715,1,1,0,0,0,,
