id,type,description,breaks
ISO3,other,Country ID,
NAMEen,other,Country Name,
POP_2023,stock,Population 2023,1428627663
TOT_ALL,stock,Ascents (total number),20145
FEMALE_ALL,stock,"Ascents (total number, females)",20145
LEADER_ALL,stock,"Ascents (total number, leaders)",20145
TOT_BEF_1950,stock,Exploratorary period ascents (before 1950),18172
TOT_1950_1969,stock,Expeditionary period ascents (1950-1969),18172
TOT_1970_1989,stock,Transitional period ascents (1969-1989),18172
TOT_AFT_1990,stock,Commercial period ascents (after 1990),18172
MED_YEAR,ratio,"Median year of ascent (50 % before, 50 % after)","[1986, 1995, 2000, 2005, 2010, 2015, 2020, 2023]"
RT_POP,ratio,Ascents per 1 million inhabitants,"[0.02, 1, 5, 10, 50, 100, 653]"
RT_FEMALE,ratio,Share of women in ascent members (%),"[0, 1, 5, 10, 25, 50, 100]"
RT_LEADER,ratio,Share of leaders in ascent members (%),"[0, 1, 5, 10, 25, 50, 100]"
RT_1950,ratio,"Share of ascents in the exploratory period (before 1950, %)","[0, 1, 5, 10, 25, 50, 75, 90, 95, 100]"
RT_1950_1969,ratio,"Share of ascents in the expeditionary period (1950-1969, %)","[0, 1, 5, 10, 25, 50, 75, 90, 95, 100]"
RT_1970_1989,ratio,"Share of ascents in the transitional period (1969-1989, %)","[0, 1, 5, 10, 25, 50, 75, 90, 95, 100]"
RT_1990,ratio,"Share of ascents in the commercial period (after 1990, %)","[0, 1, 5, 10, 25, 50, 75, 90, 95, 100]"
